■頭部パーツ
○名称	タイプ	重量	スロット数	装甲	射撃補正	索敵	ロックオン	DEF回復	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
セイバーZX	軽量型	730	1	D	B-	C	A	D+	重量	693.5	スロット数	2	予備弾数	18
ソリトン	軽量型	720	1	D	D	B-	D+	C+	重量	684	スロット数	2	リロード	17.5
ソリトン・ノイズ	軽量型	690	1	D-	E+	C	B+	C	重量	655.5	スロット数	2	リロード	8.5
ソリトン・リニア	軽量型	760	1	D+	E	B	B	D-	重量	722	スロット数	2	リロード	22
ソリトン・フォノン	軽量型	810	1	D+	D-	A-	D+	D	重量	769.5	スロット数	2	リロード	31
フォーミュラII型	軽量型	730	1	D	E	B	C+	C-	重量	693.5	スロット数	2	反動吸収	-13
フォーミュラII型C	軽量型	790	1	D	C	C+	C	C+	重量	750.5	スロット数	2	反動吸収	17
フォーミュラF型	軽量型	740	1	D-	E-	B	B	C	重量	703	スロット数	2	反動吸収	-18
フォーミュラMST	軽量型	770	1	D+	E+	B+	B-	D+	重量	731.5	スロット数	2	反動吸収	-8
ヴェクターN	軽量型	710	1	D-	B	B-	D-	B-	重量	674.5	スロット数	2	リロード	17.5
ヴェクターNb	軽量型	700	1	E+	C	C+	C+	C	重量	665	スロット数	2	リロード	13
ヴェクターCE	軽量型	730	1	D-	B	B	E+	B+	重量	693.5	スロット数	2	リロード	22
ヴェクターREV	軽量型	740	1	D	C+	B	D	B	重量	703	スロット数	2	リロード	22

■脚部パーツ
○名称	タイプ	重量	スロット数	装甲	歩行	ダッシュ	巡航	重量耐性	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
クーガーI型	中量型	850	1	C+	D+	C-	C	D	重量	807.5	スロット数	2	重量耐性	4800
クーガーII型	中量型	880	1	C	B-	C	C+	D	重量	836	スロット数	2	重量耐性	4800
クーガーS型	中量型	1000	1	C+	C-	B-	C-	C-	重量	950	スロット数	2	重量耐性	5250
クーガーNX	中量型	1090	1	B-	D+	B+	C-	C-	重量	1035.5	スロット数	2	重量耐性	5150
エンフォーサーI型	中量型	840	1	C	C+	C+	D+	C-	重量	798	スロット数	2	重量耐性	5150
エンフォーサーII型	中量型	910	1	C	D+	C	C-	C-	重量	864.5	スロット数	2	重量耐性	5300
エンフォーサーIII型	中量型	1030	1	C+	D	B	D	C-	重量	978.5	スロット数	2	重量耐性	5300
エンフォーサーX型	中量型	1080	1	B-	D	B-	D+	C	重量	1026	スロット数	2	重量耐性	5500
ツェーブラA1	中量型	860	1	C	B	C+	C-	D+	重量	817	スロット数	2	巡航	19.6
ツェーブラA2	中量型	840	1	C	B	C	C	C-	重量	798	スロット数	2	巡航	20.1
ツェーブラA4	中量型	890	1	C	C	C+	C+	C-	重量	845.5	スロット数	2	巡航	20.6
ツェーブラ・アインス	中量型	950	1	C	C+	B	C	C-	重量	902.5	スロット数	2	巡航	20.1
E.D.G.－α	中量型	900	1	D	D+	B-	C+	D+	重量	855	スロット数	2	巡航	20.6
E.D.G.－β	中量型	930	1	D	B	B	C+	D	重量	883.5	スロット数	2	巡航	20.6
E.D.G.－δ	中量型	1000	1	D-	C	A-	B-	D	重量	950	スロット数	2	巡航	21.2
E.D.G.－θ	中量型	990	1	D+	C+	B+	C	C-	重量	940.5	スロット数	2	巡航	20.1
ディスカス・プロト	中量型	1160	1	B-	B+	C-	D-	B-	重量	1102	スロット数	2	装甲	11
ディスカス・ダート	中量型	1080	1	C+	C+	B-	D-	C-	重量	1026	スロット数	2	装甲	6
ディスカス・ノヴァ	重量型	1230	1	B+	C	C-	D	B	重量	1168.5	スロット数	2	装甲	21
ディスカス・エヴォル	中量型	1190	1	B	C+	C+	D	B-	重量	1190	スロット数	2	装甲	16
迅牙	中量型	980	1	C-	A	C+	D+	C-	重量	931	スロット数	2	ダッシュ	23.4
迅牙・甲	中量型	1050	1	D+	C+	B	D+	C-	重量	997.5	スロット数	2	ダッシュ	24.6
迅牙・真	中量型	1110	1	C+	C+	C+	D	C+	重量	1054.5	スロット数	2	ダッシュ	23.4
迅牙・飛天	中量型	1150	1	C+	D-	C	C-	B-	重量	1092.5	スロット数	2	ダッシュ	22.8
雷花	中量型	940	1	C	C	B	C-	D	重量	893	スロット数	2	ダッシュ	24.6
雷花・燕	中量型	900	1	D+	D	B+	C	D	重量	855	スロット数	2	ダッシュ	25.2
雷花・麗	中量型	970	1	C+	C	B	D-	C-	重量	921.5	スロット数	2	ダッシュ	24.6
雷花・燐	中量型	1020	1	C-	C-	B+	C-	D+	重量	969	スロット数	2	ダッシュ	25.2
ザオレン	中量型	1080	1	C-	C+	C+	C+	C	重量	1026	スロット数	2	巡航	20.6
ザオレン・ガイ	中量型	1130	1	C	B-	B-	C	C-	重量	1073.5	スロット数	2	巡航	20.1
ザオレン・リアン	中量型	1150	1	C+	D	C	B-	C	重量	1092.5	スロット数	2	巡航	21.2
ザオレン・ダジアン	中量型	1200	1	C	E	B+	B-	C-	重量	1140	スロット数	2	巡航	21.2
輝星・壱式	中量型	870	1	C+	C-	C	D	C	重量	826.5	スロット数	2	重量耐性	5500
輝星・弐式	中量型	850	1	C	D-	C	C-	C-	重量	807.5	スロット数	2	重量耐性	5300
輝星・参式	中量型	1060	1	C+	E+	B-	C+	C-	重量	1007	スロット数	2	重量耐性	5250
輝星・空式	中量型	1020	1	B-	E	B+	C+	D+	重量	969	スロット数	2	重量耐性	5000
ヘヴィガードI型	重量型	1340	1	A	E+	E+	E+	A-	重量	1273	スロット数	2	重量耐性	6600
ヘヴィガードIII型	重量型	1370	1	A+	E	E	E	A	重量	1301.5	スロット数	2	重量耐性	6850
ヘヴィガードIV型	重量型	1360	1	A	E	D	D	A	重量	1292	スロット数	2	重量耐性	6750
ヘヴィガードG型	重量型	1390	1	A	E+	D-	D+	A	重量	1320.5	スロット数	2	重量耐性	6900
ケーファーB2	重量型	1250	1	B+	C	D	D	B+	重量	1187.5	スロット数	2	巡航	18.6
ケーファーB4	重量型	1240	1	B	B-	D+	D+	B	重量	1178	スロット数	2	巡航	19.1
ケーファーB5	重量型	1260	1	B+	E	D+	C-	B+	重量	1197	スロット数	2	巡航	19.6
ケーファー・ヴァッヘ	重量型	1330	1	A-	E	C-	C-	B+	重量	1263.5	スロット数	2	巡航	19.6
ランドバルクI型	重量型	1250	1	B	C	D	D-	A-	重量	1187.5	スロット数	2	重量耐性	6550
ランドバルクII型	重量型	1270	1	B	D+	D	D-	A	重量	1206.5	スロット数	2	重量耐性	6800
ランドバルクIV型	重量型	1280	1	B	D-	C-	D-	A-	重量	1216	スロット数	2	重量耐性	6550
ランドバルクAT	重量型	1340	1	A	E+	C	D-	B+	重量	1273	スロット数	2	重量耐性	6300
ヤーデN4	重量型	1160	1	A-	C+	D+	E+	B	重量	1102	スロット数	2	ダッシュ	21.6
ヤーデN4S	重量型	1220	1	A	C	D	E+	B+	重量	1159	スロット数	2	ダッシュ	21
ヤーデN5	重量型	1210	1	A+	C	C-	E	B	重量	1149.5	スロット数	2	ダッシュ	22.2
ヤーデ・マイスター	重量型	1340	1	A+	C+	C	D-	B-	重量	1273	スロット数	2	ダッシュ	22.8
ジーシェン	重量型	1280	1	B+	B	D-	D-	A	重量	1280	スロット数	2	スロット数	3
ジーシェン・フー	重量型	1250	1	B+	D+	D+	D-	A-	重量	1187.5	スロット数	2	スロット数	3
ジーシェン・シー	重量型	1290	1	A-	D	C-	D	B+	重量	1225.5	スロット数	2	スロット数	3
ジーシェン・パイロン	重量型	1360	1	A	D-	D+	D	A-	重量	1292	スロット数	2	スロット数	3
ロージーR	重量型	1380	1	A+	E	E+	D	A	重量	1311	スロット数	2	装甲	35
ロージーR＋	重量型	1400	1	A+	E+	E	D	A	重量	1330	スロット数	2	装甲	35
ロージーLM	重量型	1410	1	A	D-	E+	C-	A	重量	1339.5	スロット数	2	装甲	28
ロージーEVE	重量型	1430	1	S	D+	E-	C-	A	重量	1358.5	スロット数	2	装甲	43
ライノス	重量型	1240	1	B	B+	C-	E+	B	重量	1178	スロット数	2	ダッシュ	22.2
ライノス・ウェリ	重量型	1200	1	B-	A-	C	D-	C+	重量	1140	スロット数	2	ダッシュ	22.8
ライノス・ホプロ	重量型	1260	1	B+	B+	D+	E-	A-	重量	1260	スロット数	2	ダッシュ	21.6
ライノス・レギオ	重量型	1290	1	A-	B	C-	E	A-	重量	1225.5	スロット数	2	ダッシュ	22.2
ヴァラーE	重量型	1380	1	B	D+	C-	D	B+	重量	1380	スロット数	2	装甲	16
ヴァラーWS	重量型	1360	1	B	C-	C	D+	B-	重量	1292	スロット数	2	装甲	16
ヴァラーHC	重量型	1420	1	B+	E+	D+	C	B+	重量	1349	スロット数	2	装甲	21
ヴァラーRAV	重量型	1470	1	A	E	C	C-	B+	重量	1396.5	スロット数	2	装甲	28
シュライクI型	軽量型	770	1	D-	B-	B+	B	E-	重量	731.5	スロット数	2	歩行	8.8
シュライクII型	軽量型	730	1	E	B	B+	B	E	重量	693.5	スロット数	2	歩行	9.2
シュライクV型	軽量型	780	1	D-	B	A	B	E	重量	741	スロット数	2	歩行	9.2
シュライクW型	軽量型	740	1	E+	B+	A-	B+	E	重量	703	スロット数	2	歩行	9.6
ヤクシャ	軽量型	910	1	D-	D+	A-	B-	D-	重量	864.5	スロット数	2	ダッシュ	25.8
ヤクシャ・改	軽量型	880	1	D-	B-	A-	C+	D-	重量	836	スロット数	2	ダッシュ	25.8
ヤクシャ・弐	軽量型	960	1	D	D+	A-	C+	D-	重量	912	スロット数	2	ダッシュ	25.8
ヤクシャ・零	軽量型	970	1	D+	D-	A	C+	D-	重量	921.5	スロット数	2	ダッシュ	26.4
セイバーI型	軽量型	790	1	D	A	B	D+	D	重量	750.5	スロット数	2	巡航	19.1
セイバーI型R	軽量型	820	1	D+	B-	B	D+	D	重量	779	スロット数	2	巡航	19.1
セイバーII型	軽量型	890	1	D	C+	A-	C-	D	重量	845.5	スロット数	2	巡航	19.6
セイバーZX	軽量型	930	1	D	C	A	C+	D-	重量	883.5	スロット数	2	巡航	20.6
ソリトン	軽量型	817	2	D	B+	B+	C-	D-	重量	817	スロット数	2	ダッシュ	25.2
ソリトン・ノイズ	軽量型	840	1	D-	C-	B+	C+	D-	重量	798	スロット数	2	ダッシュ	25.2
ソリトン・リニア	軽量型	900	1	D+	C-	A-	C	D-	重量	855	スロット数	2	ダッシュ	25.8
ソリトン・フォノン	軽量型	920	1	D+	D+	A	C+	D-	重量	874	スロット数	2	ダッシュ	26.4
フォーミュラII型	軽量型	850	1	D-	D+	B	A	E+	重量	807.5	スロット数	2	ダッシュ	24.6
フォーミュラII型C	軽量型	870	1	D-	D-	B	A-	D-	重量	826.5	スロット数	2	ダッシュ	24.6
フォーミュラF型	軽量型	890	1	D-	C-	B+	A-	D-	重量	845.5	スロット数	2	ダッシュ	25.2
フォーミュラMST	軽量型	930	1	D-	E+	A-	A	D-	重量	883.5	スロット数	2	ダッシュ	25.8
ヴェクターN	軽量型	810	1	E+	C-	A-	B+	E+	重量	769.5	スロット数	2	巡航	22.4
ヴェクターNb	軽量型	780	1	E+	C	A-	B	E+	重量	741	スロット数	2	巡航	21.8
ヴェクターCE	軽量型	840	1	D-	D+	A-	B+	D-	重量	798	スロット数	2	巡航	22.4
ヴェクターREV	軽量型	880	1	D-	D	A	B+	D-	重量	836	スロット数	2	巡航	22.4

■強襲兵装
◆主武器
●サブマシンガン系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
M90サブマシンガン	140	実弾	320	60x15	780	E+	1.4	重量	133	連射速度	811	威力	333
M91サブマシンガン	150	実弾	300	78x14	850	E	1.8	重量	142.5	連射速度	884	威力	312
M99サーペント	160	実弾	350	62x15	780	C-	1.6	重量	152	連射速度	819	威力	368
M92ヴァイパー	190	実弾	340	60x16	850	D	1.7	重量	180.5	連射速度	901	威力	360

●ヴォルペ突撃銃系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ヴォルペ突撃銃	240	実弾	380	57x10	810	D+	2.2	重量	228	リロード時間	2.02	威力	395
ヴォルペ突撃銃C	230	実弾	370	60x11	810	C+	2.1	重量	218.5	リロード時間	1.93	威力	385
ヴォルペ・スコーピオ	260	実弾	410	54x11	810	B	2.1	重量	247	リロード時間	1.91	威力	431
ヴォルペ・メガロ	270	実弾	430	51x10	810	C-	2.2	重量	256.5	リロード時間	1.98	威力	456

●STAR系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
STAR－10	250	実弾	1080	18x10	300	A-	1.9	重量	237.5	リロード時間	1.75	威力	1123
STAR－10C	300	実弾	820	30x9	400	C+	2.4	重量	285	リロード時間	2.21	威力	853
STAR－20	280	実弾	1200	15x11	300	B+	2.0	重量	266	リロード時間	1.82	威力	1260
STAR－30F	320	実弾	940	19x11	400	A	1.9	重量	304	リロード時間	1.71	威力	996

●電磁加速砲系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
電磁加速砲・壱式	290	実弾50%／ニュード50%	1080	18x11	300	B-	2.5	重量	275.5	リロード時間	2.3	威力	1124
電磁加速砲・参式	320	実弾50%／ニュード50%	880	24x10	360	B+	2.7	重量	304	リロード時間	2.48	威力	916
電磁加速砲・紫電	330	実弾50%／ニュード50%	1580	12x11	240	A-	3.0	重量	313.5	リロード時間	2.73	威力	1660
電磁加速砲・速式	360	実弾50%／ニュード50%	700	17x16	540	B	1.8	重量	342	リロード時間	1.62	威力	742

●VOLT系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
VOLT－01	200	ニュード(3点射)	630	36x11	480	A-	2.0	重量	190	リロード時間	1.84	威力	655
VOLT－R	220	ニュード	600	38x10	480	B+	2.1	重量	209	リロード時間	1.93	威力	624
VOLT－X	230	ニュード(3点射)	790	30x11	420	A	2.3	重量	218.5	リロード時間	2.09	威力	830
VOLT－RX	240	ニュード	520	41x12	600	A+	1.7	重量	228	リロード時間	1.53	威力	551

●UK56速射機銃系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
UK56速射機銃	320	実弾	340	66x14	840	D	2.2	重量	304	連射速度	874	威力	354
UK56速射機銃・改	300	実弾	330	70x13	840	C-	2.3	重量	285	連射速度	874	威力	343
UK57速射機銃・弐	340	実弾	360	68x15	840	D-	2.6	重量	323	連射速度	882	威力	378
UK60速射機銃	350	実弾	450	50x14	700	D+	2.4	重量	332.5	連射速度	742	威力	477

●DBR52－コブラ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
DBR52－コブラ	420	実弾	530	43x12	600	D-	2.7	重量	399	連射速度	624	威力	551
DBR52－コブラC	400	実弾	460	51x11	660	D-	2.4	重量	380	連射速度	686	威力	478
DBR69－ボア―	440	実弾	660	32x12	540	E+	2.6	重量	418	連射速度	567	威力	693
DBR52－クレイト	430	実弾	520	47x12	660	D-	3.0	重量	408.5	連射速度	700	威力	551

●スムレラ投射長銃系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スムレラ投射長銃	330	ニュード	1400	14x11	220	B	A+	2.9	重量	313.5	連射速度	229	威力	1456
スムレラ投射長銃・改	300	ニュード	1320	16x10	220	A-	A+	2.8	重量	285	連射速度	229	威力	1373
スムレラ投射長銃・猟	350	ニュード	1800	9x11	180	A	A+	3.1	重量	332.5	連射速度	189	威力	1890
スムレラ投射長銃・刻	380	ニュード	1530	12x12	220	A-	A+	3.0	重量	361	連射速度	233	威力	1622

●掃射機銃系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	連続射撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
G61掃射機銃	270	実弾	410	88x10	900	C+	E+	2.6	2.2	重量	256.5	連続射撃	2.31	威力	426
G62C掃射機銃	280	実弾	370	100x9	960	B-	D	2.8	2.4	重量	266	連続射撃	2.52	威力	385
G66掃射機銃	300	実弾	450	82x11	900	C-	E+	2.4	1.8	重量	285	連続射撃	1.91	威力	473
G71A掃射機銃	290	実弾	400	86x10	960	C+	D-	2.5	2.1	重量	275.5	連続射撃	2.25	威力	424

●PSO2コラボ系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ヤスミノコフ5000SD	270	実弾	400	52x10	810	B+	B-	1.9	重量	256.5	リロード時間	1.71	威力	424

◆副武器
●クラッカー系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
MK3クラッカー	100	爆発	7200	1x6	17	2.5	1.0	重量	95	爆発半径	17.7	威力	7448
MK4クラッカー	110	爆発	6300	1x8	19	0.8	1.0	重量	104.5	爆発半径	19.8	威力	6552
MK5クラッカー	140	爆発	7600	1x4	24	3.5	1.4	重量	133	爆発半径	25.2	威力	7980
MK6クラッカー	130	爆発	8700	1x4	16	2.0	0.8	重量	123.5	爆発半径	17	威力	9222

●手榴弾系統
○名称	重量	属性	威力	総弾数	爆発半径	起爆時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
38型手榴弾	90	爆発	8100	1x5	21	2.5	1.0	重量	85.5	爆発半径	21.8	威力	8424
40型軽量手榴弾	80	爆発	7300	1x7	19	2.5	0.8	重量	76	爆発半径	19.8	威力	7592
41型強化手榴弾	140	爆発	10700	1x3	25	3.5	1.4	重量	133	爆発半径	26.3	威力	11235
41型手榴弾・改	130	爆発	12000	1x3	23	3.0	1.5	重量	123.5	爆発半径	24.4	威力	12720

●フレアグレネード系統
○名称	重量	属性	威力	総弾数	爆発半径	効果持続	起爆時間	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
フレアグレネード	180	爆発50%／ニュード50%	5000	1x5	10	1.8	1.2	1.4	重量	171	爆発半径	10.4	威力	5200
フレアグレネードS	170	爆発50%／ニュード50%	6800	1x6	9	1.2	1.0	1.4	重量	161.5	爆発半径	9.5	威力	7140
フレアグレネードV	210	爆発50%／ニュード50%	4500	1x4	11	2.5	1.5	1.8	重量	199.5	爆発半径	11.7	威力	4770

●チェインボム系統
○名称	重量	属性	威力	総弾数	爆発半径	爆発回数	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
チェインボム	150	爆発	5800	1x4	12	6	1.5	重量	142.5	爆発半径	12.5	威力	6032
チェインボムS	130	爆発	4700	1x5	10	8	1.2	重量	123.5	爆発半径	10.4	威力	4888
チェインボムV	200	爆発	7800	1x3	13	4	2.0	重量	190	爆発半径	13.7	威力	8190
チェインボムX	220	爆発	6000	1x3	14	5	2.2	重量	209	爆発半径	14.8	威力	6360

●グレネードランチャー系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
グレネードランチャー	230	爆発	4600	3x3	200	13	3.0	重量	218.5	爆発半径	13.5	威力	4784
多装Gランチャー	250	爆発	3900	4x3	220	15	3.0	重量	237.5	爆発半径	15.6	威力	4056
拡散型Gランチャー	280	爆発	2900	6x3	300	16	3.2	重量	266	爆発半径	16.8	威力	3045
強化型Gランチャー	310	爆発	10600	1x3	単発	16	3.6	重量	294.5	爆発半径	17	威力	11236

●ツィーゲルラケーテ系統
○名称	重量	属性	威力	総弾数	連射速度	爆発半径	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ツィーゲルラケーテ	300	爆発	4500	3x3	180	13	2.0	重量	285	爆発半径	13.5	威力	4680
ツィーゲルラケーテU	310	爆発	3500	4x3	240	14	2.5	重量	294.5	爆発半径	14.6	威力	3640
ZR－ヤークト	330	爆発	10200	1x4	(単発)	15	3.0	重量	313.5	爆発半径	15.8	威力	10710
ZR－ゲヴァルト	320	爆発	6300	2x4	120	17	2.5	重量	304	爆発半径	18	威力	6678

◆補助装備
●ソード系統
○名称	重量	属性	通常攻撃	特殊攻撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
デュエルソード	230	近接	4500	6000	重量	218.5	通常威力	4950	特殊威力	6600
マーシャルソード	300	近接	9000	7500	重量	285	通常威力	9900	特殊威力	8250
SW－ティアダウナー	560	近接	9500	9000	重量	532	通常威力	10545	特殊威力	9990
SW－エグゼクター	700	近接	13500	24000	重量	665	通常威力	15120	特殊威力	26880

●クラッシュエッジ系統
○名称	重量	属性	通常攻撃	特殊攻撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
クラッシュエッジ	320	近接	8500	8500	重量	304	通常威力	9350	特殊威力	9350
クラッシュエッジII	240	近接	8500	8000	重量	228	通常威力	9435	特殊威力	8880
CE－クトネシリカ	580	近接	8500	18000	重量	551	通常威力	9520	特殊威力	20160

●リヒトメッサー系統
○名称	重量	属性	通常攻撃	特殊攻撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
リヒトメッサ―	190	ニュード50%／近接50%	5500	4500	重量	180.5	通常攻撃	6050	特殊攻撃	4950
リヒトメッサ―II	280	ニュード50%／近接50%	6000	8000	重量	266	通常攻撃	6660	特殊攻撃	8880
LM－ジリオス	380	ニュード50%／近接50%	10500	9000	重量	361	通常攻撃	11760	特殊攻撃	10080

●ロングスピア系統
○名称	重量	属性	通常攻撃	特殊攻撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ロングスピア	200	近接	4000	6000	重量	190	通常攻撃	4400	特殊攻撃	6600
ピアシングスピア	310	近接	4500	8000	重量	294.5	通常攻撃	4995	特殊攻撃	8880
SP－ペネトレーター	490	近接	8500	8500	重量	465.5	通常攻撃	9520	特殊攻撃	9520

●スパークロッド系統
○名称	重量	属性	通常攻撃	特殊攻撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スパークロッド	190	ニュード30%／近接70%	5000	8000	重量	180.5	通常攻撃	5500	特殊攻撃	8800
スパークロッドII	260	ニュード30%／近接70%	8000	9000	重量	247	通常攻撃	8880	特殊攻撃	9990
SR－ヴァジュラ	410	ニュード30%／近接70%	12500	14000	重量	389.5	通常攻撃	14000	特殊攻撃	15680

●スラッシュグレイヴ系統
○名称	重量	属性	通常攻撃	特殊攻撃	充填時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
スラッシュグレイヴ	300	ニュード50%／近接50%(チャージ)	3500/4800	5500/6600	1.0	重量	285	通常攻撃	3850/5280	特殊攻撃	6050/7260
ツイングレイヴ	460	ニュード50%／近接50%(チャージ)	10000/12000	12000/14400	1.5	重量	437	通常攻撃	11100/13320	特殊攻撃	13320/15984
SG－テンペスト	560	ニュード50%／近接50%(チャージ)	15500/18600	16000/19200	2.0	重量	532	通常攻撃	17360/20832	特殊攻撃	17920/21504

◆特別装備
●アサルトチャージャー系統
○名称	重量	出力	連続使用	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
アサルトチャージャー	270	1.6	2.4	35	重量	256.5	チャージ時間	33.25	連続使用	2.59
AC－ディスタンス	310	1.3	3.8	55	重量	294.5	チャージ時間	51.7	連続使用	4.14
AC－オーバーラップ	330	1.45	3.1	38	重量	313.5	チャージ時間	35.24	連続使用	3.41

●SC－マルチウェイ系統
○名称	重量	出力	連続使用	チャージ時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
SC－マルチウェイ	240	1.25	3.2	40	重量	228	チャージ時間	38.0	連続使用	3.46
SC－マルチウェイX	280	1.7	1.6	30	重量	266	チャージ時間	28.2	連続使用	1.74
SC－マルチウェイII	300	1.0	4.7	45	重量	285	チャージ時間	41.85	連続使用	5.17

■重火力兵装
◆主武器
●ウィーゼル機関銃系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	OH耐性	OH復帰時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ウィーゼル機関銃	290	実弾	430	170x8	660	D+	D	3.0	5.8	2.8	重量	275.5	OH耐性	6.09	威力	447
ウィーゼル・ラピッド	330	実弾	440	190x7	700	D-	D+	3.0	4.9	2.0	重量	313.5	OH耐性	5.15	威力	458
ウィーゼル・コロナ	340	実弾	490	170x7	660	C-	C	3.0	4.8	2.2	重量	323	OH耐性	5.09	威力	515
ウィーゼル・オルタ	350	実弾	480	180x7	700	D+	D-	3.5	4.3	1.8	重量	332.5	OH耐性	4.60	威力	509

●ガトリングガン系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	OH耐性	OH復帰時間	空転時間	空転停止	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
GAXガトリングガン	360	実弾	190	380x7	1500	A-	E	3.5	5.7	4.0	0.45	1.0	重量	342	OH耐性	5.99	威力	198
GAXエレファント	410	実弾	400	230x6	800	B+	E+	3.5	5.6	4.0	1.0	1.5	重量	389.5	OH耐性	5.88	威力	416
GAXダイナソア	470	実弾	300	310x6	1200	B+	E	4.0	4.7	4.0	1.8	3.0	重量	446.5	OH耐性	4.98	威力	315
GAXファフニール	540	実弾	220	400x7	1500	A-	E	3.5	7.1	4.8	0.5	1.2	重量	513	OH耐性	7.6	威力	233

●機関砲系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	連続射撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
単式機関砲	400	実弾	1450	30x10	220	C-	C	3.6	4.8	重量	380	連続射撃	5.04	威力	1508
双門機関砲	520	実弾	900	62x8	350	C	C+	4.0	5.0	重量	494	連続射撃	5.25	威力	936
単式機関砲・改	440	実弾	1500	33x9	220	C+	A-	3.8	4.9	重量	418	連続射撃	5.19	威力	1575
双門機関砲・轟鉄	560	実弾	690	100x6	540	B	D	4.2	2.5	重量	532	連続射撃	2.68	威力	731

●炸薬砲系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	連続射撃	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
単式炸薬砲	440	実弾50%／爆発50%	1320	30x9	200	C-	B-	3.6	4.6	重量	418	連続射撃	4.83	威力	1372
双門炸薬砲	540	実弾50%／爆発50%	700	64x8	360	D	B-	4.0	5.0	重量	513	連続射撃	5.25	医療	728
単式炸薬砲・猛虎	460	実弾50%／爆発50%	1440	40x7	180	B-	C	3.8	3.6	重量	437	連続射撃	3.82	威力	1512
双門炸薬砲・羅刹	570	実弾50%／爆発50%	740	70x8	360	D+	C	4.2	3.9	重量	541.5	連続射撃	4.17	威力	784

●ヴルカン系統
○名称	重量	属性	威力	総弾数	連射速度	射撃精度	反動	リロード時間	強化対象1	強化値1	強化対象2	強化値2	強化対象3	強化値3
ヴルカンLG1	280	ニュード	570	45x19	480	D	A-	2.2	重量	266	連射速度	499	威力	593
ヴルカンLG2	290	ニュード	640	42x20	420	C	A	2.2	重量	275.5	連射速度	437	威力	666
ヴルカン・ラヴァ	320	ニュード	670	36x21	420	B	B	2.2	重量	304	連射速度	441	威力	704
ヴルカン・ジャラー	300	ニュード	480	49x21	600	C+	A	2.1	重量	285	連射速度	636	威力	509

●LAC－グローム系統
